Reference,Value,Datasheet,Footprint,Qty,DNP,in cart,cart qty,
"C1,C2",22p,~,Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,2,,x,,
"C3,C14",220p,~,Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,2,,x,,
C4,C,~,Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,1,,,,
"C5,C8,C13,C15,C16,C17",100n,~,Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,6,,x,,
"C6,C7,C18,C19",47u,~,Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,4,,x,,
"C9,C10",10u,~,Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,2,,,,need different footprint
"C11,C12",100p,~,Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,2,,x,,
C20,2n7,~,Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,1,,x,,
"D1,D2,D3,D4",1N4448,https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,4,,x,20,
J1,Conn_01x06_Pin,~,Connector_PinHeader_1.27mm:PinHeader_1x06_P1.27mm_Vertical,1,,,,
J2,NCJ5FI-H-0,https://www.neutrik.com/en/product/ncj5fi-h-0,Connector_Audio:Jack_XLR-6.35mm_Neutrik_NCJ5FI-H-0_Horizontal,1,,x,1,
"J3,J4,J5",Conn_01x02_Pin,~,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,3,,,,
J6,Screw_Terminal_01x02,~,TerminalBlock_RND:TerminalBlock_RND_205-00001_1x02_P5.00mm_Horizontal,1,,,,
"R1,R3,R5,R7",47k,~,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,4,,x,20,
"R2,R4,R6",4.7k,~,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,3,,x,20,
"R8,R9",6.81k,~,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,2,,x,20,
"R10,R11",10,~,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,2,,x,20,
"R12,R13",1.2Meg,~,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,2,,x,20,
"R14,R15",1.2k,~,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,2,,x,20,
"R16,R17",909,~,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,2,,x,20,
R18,249,~,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,1,,x,20,
"R19,R20",0,~,-- mixed values --,2,,,,
U1,TEL12-1223,https://www.tracopower.com/sites/default/files/products/datasheets/tel12_datasheet.pdf,Converter_DCDC:Converter_DCDC_TRACO_TEL12-xxxx_THT,1,,,,
U2,THAT5171_U,http://www.thatcorp.com/datashts/THAT_5171_Datasheet.pdf,Package_DFN_QFN:QFN-32-1EP_7x7mm_P0.65mm_EP5.4x5.4mm,1,,x,1,
U3,THAT1580,http://www.thatcorp.com/datashts/THAT_1580_Datasheet.pdf,Package_DFN_QFN:QFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm_ThermalVias,1,,x,1,
