Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0201,2,22p,
"C10, C4, C9",0201,3,10u,
"C11, C12",0201,2,100p,
"C13, C15, C16, C17, C5, C8",0201,6,100n,
"C14, C3",0201,2,220p,
"C18, C19, C6, C7",0201,4,47u,
C20,0201,1,2n7,
"D1, D2, D3, D4",D_DO-35_SOD27_P7.62mm_Horizontal,4,1N4448,
J10,PinHeader_1x08_P1.27mm_Vertical,1,Conn_01x08_Pin,
J2,Jack_XLR-6.35mm_Neutrik_NCJ5FI-H-0_Horizontal,1,NCJ5FI-H-0,
"J3, J4, J5",PinHeader_1x02_P2.54mm_Vertical,3,Conn_01x02_Pin,
"J6, J7, J8",TerminalBlock_RND_205-00001_1x02_P5.00mm_Horizontal,3,Screw_Terminal_01x02,
"R1, R3, R5, R7",0402,4,47k,
"R10, R11",0402,2,10,
"R12, R13",0402,2,1.2Meg,
"R14, R15",0402,2,1.2k,
"R16, R17",0402,2,909,
R18,0402,1,249,
"R2, R4, R6",0402,3,4.7k,
"R8, R9",0402,2,6.81k,
U2,QFN-32-1EP_7x7mm_P0.65mm_EP5.4x5.4mm,1,THAT5171,
U3,QFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm_ThermalVias,1,THAT1580,
