Designator,Mid X,Mid Y,Rotation,Layer
C1,147.0675,-97.5,0.0,top
C10,163.4,-103.8075,270.0,top
C11,151.0,-103.4925,270.0,top
C12,148.8,-103.5675,270.0,top
C13,161.2,-115.7,180.0,top
C14,151.5675,-101.5,180.0,top
C15,155.5675,-114.9,0.0,top
C16,157.8075,-115.0,0.0,top
C17,153.1925,-114.9,180.0,top
C18,166.7675,-94.9,0.0,top
C19,165.3675,-103.5,0.0,top
C2,146.9,-100.8,0.0,top
C20,172.0,-101.0,270.0,top
C3,146.5,-99.1,270.0,top
C4,166.0,-115.6,270.0,top
C5,163.9,-115.6075,270.0,top
C6,152.83,-96.69,90.0,top
C7,150.5,-96.9,90.0,top
C8,159.7675,-115.0,0.0,top
C9,155.6,-104.1325,270.0,top
D1,160.56,-97.05,270.0,top
D2,163.2,-97.09,90.0,top
D3,157.9,-97.11,270.0,top
D4,155.16,-97.13,90.0,top
J10,174.53,-113.8,90.0,top
J2,128.77,-99.155,180.0,top
J3,171.49125,-88.02625,0.0,top
J4,175.14125,-88.02625,0.0,top
J5,178.82125,-88.02625,0.0,top
J6,177.4,-101.1,270.0,top
J7,163.1,-87.0,0.0,top
J8,151.9,-87.0,0.0,top
R1,174.09125,-92.30625,270.0,top
R10,152.9,-99.0975,270.0,top
R11,150.5,-99.3075,270.0,top
R12,158.0,-103.9,90.0,top
R13,160.9,-103.7,90.0,top
R14,147.5,-106.2,270.0,top
R15,149.8,-106.1975,270.0,top
R16,169.6025,-94.9,0.0,top
R17,168.6025,-103.6,0.0,top
R18,170.7,-101.0,90.0,top
R2,172.40125,-83.67625,270.0,top
R3,175.09125,-92.30375,270.0,top
R4,174.92125,-83.58625,270.0,top
R5,176.09125,-92.30625,270.0,top
R6,177.37125,-83.60625,270.0,top
R7,177.1,-92.3,270.0,top
R8,149.4,-94.4025,90.0,top
R9,147.1,-94.4025,270.0,top
U2,161.83,-110.29,90.0,top
U3,152.3,-110.335,270.0,top
